id,step,order,section_id
27,"Once the prawns are ready, drain the excess citrus juice, leaving a small amount to keep the ceviche moist.",1,10
28,"Incorporate the red onion, red chili, cucumber, cherry tomatoes, and coriander into the bowl with the prawns.",2,10
29,Gently fold in the diced avocado and olive oil.,3,10
30,"Season the ceviche with salt, black pepper, and a pinch of sugar. Adjust seasoning to taste.",4,10
31,"Serve immediately, either on its own or with tortilla chips for a crunchy accompaniment.",5,10
32,Cut the chicken thighs into bite-sized pieces.,1,11
33,"In a bowl, mix Greek yogurt, half of the garlic, half of the ginger, coriander powder, cumin powder, half of the garam masala, turmeric powder, red chili powder, and salt.",2,11
34,"Add the chicken pieces to the marinade, ensuring each piece is well-coated. Cover and refrigerate for at least 30 minutes, or overnight for better flavor.",3,11
35,Heat 1 tablespoon of vegetable oil in a large pan over medium heat.,1,12
36,"Add the marinated chicken pieces to the pan. Cook until the chicken is mostly done, about 8-10 minutes. Remove the chicken from the pan and set aside.",2,12
37,"In the same pan, add the remaining 1 tablespoon of vegetable oil.",1,13
38,Add the chopped onions and sauté until they are golden brown.,2,13
39,"Add the remaining garlic and ginger, sautéing for an additional minute.",3,13
40,"Stir in the tomato puree, then add salt to taste and the remaining garam masala. Simmer for 5-7 minutes, stirring occasionally.",4,13
41,"Return the cooked chicken to the pan, ensuring it is fully coated in the sauce.",1,14
42,"Cook for another 5-10 minutes, or until the chicken is fully cooked and tender.",2,14
43,Taste and adjust seasonings if necessary.,3,14
44,Garnish with freshly chopped coriander leaves before serving.,4,14
45,"Trim the green beans and cut them into bite-sized pieces. Boil them in salted water for about 3-4 minutes, until tender but still crisp. Drain and rinse under cold water to stop the cooking process.",1,15
46,"Boil the new potatoes in salted water for 10-15 minutes, or until tender. Allow them to cool slightly, then slice into bite-sized pieces.",2,15
47,Wash and dry the mixed salad leaves.,3,15
48,Cut the ripe tomatoes into wedges.,4,15
49,Peel and thinly slice the red onion.,5,15
50,Peel the hard-boiled eggs and cut each into quarters.,6,15
51,"In a small bowl, combine the extra virgin olive oil, red wine vinegar, Dijon mustard, and a finely minced clove of garlic.",1,16
52,Whisk the ingredients together until emulsified and season with salt and freshly ground black pepper to taste.,2,16
53,"In a large serving bowl or platter, arrange the salad leaves as the base.",1,17
54,"Evenly distribute the green beans, sliced potatoes, tomato wedges, and red onion slices over the salad leaves.",2,17
55,Break the tuna into chunks and scatter over the salad.,3,17
56,Arrange the quartered eggs and black olives on top.,4,17
57,"Drizzle the vinaigrette over the salad just before serving, and add additional salt and pepper if needed.",5,17
58,"In a large pot, pour in the chicken stock and add the soy sauce, mirin, minced garlic, and grated ginger.",1,18
59,"Bring the mixture to a gentle boil over medium heat, then reduce the heat to low and let it simmer for about 15 minutes.",2,18
60,"While simmering, season with salt and pepper to taste.",3,18
61,Warm the sesame oil in a frying pan over medium heat.,1,19
62,"Add the boneless chicken thighs and cook until they are browned on all sides and fully cooked, about 7-10 minutes.",2,19
63,"Remove the chicken from the pan and let it rest for a few minutes. Then, slice it into thin strips.",3,19
64,"In a separate pot, bring water to a boil and cook the ramen noodles as per package instructions.",1,20
65,Drain the noodles and divide them evenly among four serving bowls.,2,20
66,Place the cooked chicken slices on top of the noodles in each bowl.,1,21
67,Pour the prepared broth over the chicken and noodles until the bowls are filled just below the brim.,2,21
68,"Top each bowl with half of a boiled egg, sliced spring onions, and half a sheet of nori.",3,21
69,"Serve immediately while hot, adding additional soy sauce or salt if desired.",4,21
70,"In a large saucepan, combine the water, lemon slices, bay leaves, black peppercorns, and salt. Bring to a gentle simmer over medium heat.",1,22
71,"Once the poaching liquid is simmering, add the salmon fillets in a single layer. Ensure they are fully submerged. Cover the saucepan with a lid.",2,22
72,"Let the salmon poach gently in the liquid for 10-12 minutes, or until it is opaque and flakes easily with a fork.",3,22
73,Use a slotted spoon to carefully remove the salmon from the poaching liquid and keep warm.,4,22
74,"In a large skillet, heat the olive oil over medium heat. Add the minced garlic and sauté until fragrant, about 1 minute.",1,23
75,"Add the spinach and kale to the skillet. Stir to combine and cook until the greens are wilted, about 3-4 minutes.",2,23
76,Stir in the butter and season with salt and black pepper to taste. Toss until the butter is melted and the greens are well coated.,3,23
77,Divide the wilted greens evenly among four plates.,1,24
78,Place a poached salmon fillet on top of the greens on each plate.,2,24
79,Garnish with additional lemon slices if desired and serve immediately.,3,24
80,Heat a large skillet over medium heat.,1,25
81,"Place the bacon slices in the skillet and cook until crispy, turning occasionally (about 5-7 minutes).",2,25
82,"Once cooked, transfer the bacon to a plate lined with paper towels to drain excess grease.",3,25
83,"In a bowl, whisk together the eggs, milk, salt, and pepper until well combined.",1,26
84,"In the same skillet used for the bacon, heat olive oil over medium heat.",2,26
85,"Pour the egg mixture into the skillet and cook, stirring gently, until soft curds form and the eggs are cooked through (about 3-5 minutes).",3,26
86,Warm the flour tortillas in the microwave for about 20 seconds or in a dry skillet for 30 seconds on each side.,1,27
87,Lay each warm tortilla on a flat surface and evenly divide the scrambled eggs between them.,2,27
88,Crumble two slices of bacon atop the eggs on each tortilla.,3,27
89,Sprinkle half of the grated cheddar cheese over the bacon on each tortilla.,4,27
90,"Add slices of avocado over the cheese, and finish with two tablespoons of fresh salsa on each.",5,27
91,"Carefully roll up the tortillas burrito-style, tucking in the sides as you go to keep the filling secure.",6,27
92,Preheat your oven to 180°C (350°F).,1,28
93,"In a medium bowl, combine almond flour, unsweetened cocoa powder, baking powder, and salt. Stir well to ensure all dry ingredients are mixed thoroughly.",2,28
94,"In a separate large bowl, mix together the granulated erythritol, unsweetened applesauce, eggs, and vanilla extract until smooth and well combined.",1,29
95,Gradually add the dry ingredient mixture into the wet ingredients. Stir until you have a smooth batter.,1,30
96,"If using, fold in dark chocolate chips.",2,30
97,Lightly spray a square baking dish (approximately 20x20 cm) with non-stick cooking spray.,3,30
98,Pour the brownie batter into the prepared dish and spread evenly.,4,30
99,"Bake in the preheated oven for 20-25 minutes, or until a toothpick inserted into the center comes out mostly clean.",5,30
100,Remove from the oven and allow the brownies to cool in the dish for at least 10 minutes.,1,31
101,Cut into 6 equal pieces and serve. Enjoy your guilt-free treat!,2,31
102,Preheat your oven to 220°C (430°F).,1,32
103,"Place the chicken breast-side down. Using kitchen shears, cut along both sides of the backbone to remove it.",2,32
104,Turn the chicken over and press down firmly on the breastbone to flatten the chicken.,3,32
105,"In a small bowl, mix 2 tablespoons of olive oil, lemon juice, minced garlic, rosemary leaves stripped from the sprigs, 2 teaspoons of salt, and 1 teaspoon of black pepper.",4,32
106,"Rub the mixture all over the chicken, ensuring even coverage, and set aside.",5,32
107,"In a large bowl, combine carrots, parsnips, red onions, and potatoes.",1,33
108,"Drizzle with 2 tablespoons of olive oil, and sprinkle with 1 teaspoon of salt and 1 teaspoon of black pepper. Toss well to coat the vegetables evenly.",2,33
109,"On a large baking tray, arrange the root vegetables in an even layer.",1,34
110,"Place the spatchcocked chicken on top of the vegetables, breast side up.",2,34
111,"Transfer to the preheated oven and roast for 45-50 minutes, or until the chicken is golden brown and the internal temperature reaches 75°C (165°F).",3,34
112,"For a crispy skin, turn on the broiler in the last 5 minutes of cooking time while keeping a close eye to prevent burning.",4,34
113,Remove the roasting pan from the oven and let the chicken rest for 10 minutes before carving.,1,35
114,"Serve the chicken with the roasted root vegetables, and enjoy your meal!",2,35
115,Pat the tuna steaks dry with paper towels. Brush each steak with olive oil and season with salt and black pepper on both sides.,1,36
116,"Preheat a grill or grill pan over medium-high heat. Once hot, place the tuna steaks on the grill.",1,37
117,"Grill the tuna steaks for about 2-3 minutes on each side for a rare (or up to 4 minutes for medium rare), depending on your preference.",2,37
118,Remove the tuna steaks from the grill and let them rest on a plate tented with foil.,3,37
119,"In a small saucepan, melt the butter over medium heat. Add the minced garlic and sauté until fragrant, about 1 minute.",1,38
120,"Stir in the lemon juice, chopped parsley, lemon zest, capers, and optional chili flakes. Cook for another 2 minutes, stirring occasionally.",2,38
121,Transfer the grilled tuna steaks onto serving plates. Spoon the garlicky lemon butter sauce over each tuna steak.,1,39
122,Garnish with additional parsley if desired and serve immediately.,2,39
123,Wash the rocket leaves thoroughly under cold running water to remove any dirt or grit.,1,40
124,"If using whole cashews, soak them in warm water for about 20 minutes to soften, then drain.",2,40
125,"In a food processor, combine the fresh rocket leaves, drained cashews, extra virgin olive oil, lemon juice, and minced garlic.",1,41
126,Season with salt and black pepper.,2,41
127,"Start blending and gradually add water, one tablespoon at a time, until the spread reaches your desired consistency.",3,41
128,Taste the spread and adjust the seasoning if necessary.,1,42
129,"Transfer the spread to a bowl and serve immediately with crackers, or refrigerate until ready to serve.",2,42
130,"If refrigerating, allow the spread to come to room temperature for a few minutes before serving to enhance the flavors.",3,42
131,"In a saucepan, bring the vegetable or chicken broth to a gentle simmer. Keep it warm on low heat throughout the cooking process.",1,43
132,"In a large pan, heat 1 tablespoon of olive oil over medium heat. Add the sliced mushrooms and cook until they are browned and soft, about 5-7 minutes.",1,44
133,"Season the mushrooms with a pinch of salt and black pepper, then remove them from the pan and set aside.",2,44
134,"In the same pan, add 1 tablespoon of butter and 1 tablespoon of olive oil. Sauté the chopped onion until translucent, about 3-4 minutes.",1,45
135,Add the minced garlic and sauté for another 30 seconds.,2,45
136,"Stir in the Arborio rice and cook for 1-2 minutes, ensuring each grain is coated with the oil.",3,45
137,Pour in the white wine and stir continuously until the liquid is mostly absorbed by the rice.,4,45
138,"Begin adding the warm broth, one ladle at a time, stirring frequently. Wait until the liquid is almost completely absorbed before adding the next ladle of broth.",5,45
139,"Continue this process until the rice is creamy and al dente, about 18-20 minutes.",6,45
140,"Stir in the cooked mushrooms, remaining butter, grated Parmesan cheese, and lemon zest.",1,46
141,Taste and adjust seasoning with salt and black pepper as desired.,2,46
142,Garnish with fresh parsley and serve immediately.,3,46
143,Pat the oxtail pieces dry with paper towels. Season with salt and black pepper.,1,47
144,"Heat olive oil in a large skillet over medium-high heat. Dredge the oxtail pieces in flour, shaking off excess, and brown them in batches until they have a deep, rich color. Remove and set aside.",2,47
145,"In the same skillet, add onion, carrots, and celery. Sauté until the vegetables are soft, about 5-7 minutes.",1,48
146,"Stir in the garlic and tomato paste, cooking until fragrant, about 1-2 minutes.",2,48
147,"Pour in the red wine, scraping up any browned bits from the bottom of the skillet. Let it reduce slightly, about 3 minutes.",3,48
148,"Transfer the contents of the skillet to a slow cooker. Add the browned oxtail pieces, beef stock, bay leaves, and thyme.",1,49
149,Cover and cook on a low setting for 6-8 hours or until the oxtail is tender and falling off the bone.,2,49
150,"About 45 minutes before serving, add the cubed potatoes to the slow cooker. Stir to ensure they are covered.",1,50
151,"15 minutes before serving, stir in the peas and let them heat through.",2,50
152,Taste and adjust seasoning with salt and pepper if necessary.,3,50
153,Remove and discard the bay leaves from the stew.,1,51
154,"Ladle the stew into bowls, garnish with chopped parsley, and serve hot.",2,51
155,"Boil the peeled and cubed potatoes in salted water until tender, about 15 minutes. Drain well.",1,52
156,"In a separate pan, poach the fish fillets in simmering water for 5-7 minutes, until just cooked through. Remove and let cool slightly.",2,52
157,"Mash the potatoes with butter, salt, and black pepper until smooth.",3,52
158,"Flake the poached fish into the mashed potatoes, add finely chopped parsley, and gently combine to form a thick mixture.",4,52
159,"Shape the mixture into 8 patties, about 2 cm thick.",5,52
160,"Place the flour, beaten eggs, and breadcrumbs into three separate shallow dishes.",1,53
161,"Coat each fish cake in flour, then dip in egg, and finally coat in breadcrumbs, ensuring that each cake is thoroughly covered.",2,53
162,"Heat vegetable oil in a frying pan over medium heat and fry the fish cakes for about 3-4 minutes on each side, until golden brown and crispy.",3,53
163,Remove the fish cakes from the pan and place on a paper towel-lined plate to absorb excess oil.,4,53
164,"In a small bowl, mix mayonnaise, Dijon mustard, capers, gherkins, lemon juice, and chives until well combined.",1,54
165,"Serve the fish cakes hot, topped with a generous spoonful of tartar sauce.",1,55
166,Wash and pat dry the zucchinis.,1,56
167,Use a spiralizer to turn the zucchinis into noodles (zoodles).,2,56
168,Transfer the zoodles to a large salad bowl.,3,56
169,Drain and rinse the soaked cashews.,1,57
170,"In a high-speed blender, combine the drained cashews, nutritional yeast, lemon juice, minced garlic, water, olive oil, salt, and black pepper.",2,57
171,"Blend the ingredients until smooth and creamy, adjusting the seasoning as needed.",3,57
172,Pour the raw Alfredo sauce over the zoodles and gently toss to coat evenly.,1,58
173,Divide the zoodles among serving plates.,2,58
174,Garnish with fresh basil leaves and halved cherry tomatoes.,3,58
175,Serve immediately and enjoy your vegan zoodles with raw Alfredo sauce!,4,58
176,"Peel and dice the onion, carrots, and parsnips. Mince the garlic cloves. Peel and cube the butternut squash and sweet potato.",1,59
177,"In a large pot, heat the olive oil over medium heat. Add the diced onion and sauté until translucent, about 5 minutes.",1,60
178,Add the minced garlic and sauté for another minute until fragrant.,2,60
179,"Stir in the diced carrots, parsnips, cubed butternut squash, and sweet potato. Cook for 5 minutes, stirring occasionally.",3,60
180,"Pour in the vegetable stock, adding more if necessary to cover the vegetables completely.",4,60
181,"Add the bay leaves, dried thyme, salt, pepper, and ground nutmeg. Stir to combine.",5,60
182,"Bring the soup to a boil, then reduce the heat to a simmer. Cover and cook for 25-30 minutes, or until the vegetables are tender.",6,60
183,Remove the bay leaves from the soup.,1,61
184,"Using an immersion blender, blend the soup until smooth and creamy. For a chunkier texture, blend only half of the soup.",2,61
185,"If desired, stir in cream at the end for a richer texture.",3,61
186,Taste and adjust seasoning with more salt and pepper as needed.,4,61
187,"Serve hot, garnished with chopped parsley.",5,61
188,"In a large mixing bowl, combine the rolled oats, chopped dried cherries, ground flaxseeds, chia seeds, and sea salt.",1,62
189,"In a separate bowl, mix together the almond butter, honey, and vanilla extract until smooth.",2,62
190,"Pour the almond butter mixture into the dry ingredients and mix well until all ingredients are evenly combined. The mixture should be sticky enough to hold together. If it's too dry, add a bit more almond butter or honey.",1,63
191,"If using, gently fold in the dark chocolate chips.",2,63
192,Scoop approximately a tablespoon of the mixture and roll it between your palms to form a ball. Repeat with the remaining mixture.,3,63
193,Place the energy balls on a tray lined with parchment paper and refrigerate for at least 30 minutes to set.,1,64
194,"Once set, store the energy balls in an airtight container in the refrigerator for up to two weeks.",2,64
195,Preheat your oven to 150°C (300°F) and line two large baking sheets with parchment paper.,1,65
196,Wash the kale leaves thoroughly and dry them using a salad spinner or pat dry with a clean kitchen towel to remove all moisture.,2,65
197,Place the dried kale leaves into a large mixing bowl.,1,66
198,Drizzle the olive oil over the kale leaves and gently massage with your fingers to ensure all leaves are evenly coated with oil.,2,66
199,"Sprinkle the sea salt, garlic powder, paprika, and freshly ground black pepper over the oiled kale and toss the leaves to evenly distribute the seasonings.",3,66
200,"Spread the seasoned kale leaves in a single layer on the prepared baking sheets, ensuring they do not overlap.",1,67
201,"Bake the kale in the preheated oven for 20-25 minutes, turning the trays halfway through baking, until the leaves are crispy and slightly browned but not burnt.",2,67
202,Remove the baking sheets from the oven and allow the kale chips to cool on the sheets for a few minutes before serving.,3,67
203,Bring a large pot of salted water to a boil.,1,68
204,Add the penne pasta and cook according to the package instructions until al dente.,2,68
205,"Drain the pasta and set aside, reserving a cup of the pasta water.",3,68
206,"In a large skillet, heat the olive oil over medium heat.",1,69
207,"Add the minced garlic and sauté until fragrant, about 1 minute.",2,69
208,"Pour in the heavy cream and bring it to a gentle simmer, stirring occasionally.",3,69
209,"Add the crumbled gorgonzola cheese to the skillet, stirring constantly until the cheese has melted and the sauce is smooth.",4,69
210,Return the cooked penne to the pot or a large serving bowl.,1,70
211,"Pour the creamy gorgonzola sauce over the pasta, tossing to coat. If the sauce is too thick, add some reserved pasta water to reach the desired consistency.",2,70
212,Season the pasta with salt and black pepper to taste.,3,70
213,Gently mix in the chopped parsley and basil.,4,70
214,"Serve the pasta hot, garnished with grated Parmesan cheese and chopped toasted walnuts for added texture and flavor.",5,70
215,Heat the olive oil in a large pot over medium heat.,1,71
216,"Add the chopped onion and sauté until translucent, about 5 minutes.",2,71
217,"Stir in the minced garlic, diced carrots, and diced celery, and cook for another 5 minutes until they begin to soften.",3,71
218,Add the rinsed split peas to the pot and stir to combine with the sautéed vegetables.,1,72
219,Place the smoked ham hock or bone into the pot.,2,72
220,"Pour in the vegetable stock or water, ensuring the ingredients are fully submerged.",3,72
221,Add the bay leaf and dried thyme.,4,72
222,"Bring the mixture to a boil, then reduce the heat to low, cover the pot, and simmer for 1 hour, stirring occasionally.",5,72
223,"Check the texture of the peas; if they are soft and breaking apart, remove the bay leaf and ham hock from the pot.",1,73
224,Shred the meat from the ham hock if desired and return the meat to the soup.,2,73
225,Season the soup with salt and black pepper to taste.,3,73
226,"If you prefer a smoother consistency, use an immersion blender to partially or fully blend the soup.",4,73
227,Ladle the soup into bowls and serve hot.,5,73
228,Preheat oven to 180°C (350°F).,1,74
229,"Cook the macaroni according to package instructions until al dente, then drain and set aside.",2,74
230,"In a medium saucepan, melt the butter over medium heat.",1,75
231,Add the flour and stir continuously for about 2 minutes to form a roux.,2,75
232,"Slowly add the milk, whisking continuously to prevent lumps from forming, and cook until the mixture thickens.",3,75
233,"Reduce the heat and add the grated Cheddar and Parmesan cheeses, stirring until the cheese is completely melted and the sauce is smooth.",4,75
234,Season the sauce with salt and freshly ground black pepper to taste.,5,75
235,Add the cooked macaroni to the cheese sauce and stir well to coat the pasta evenly.,1,76
236,Transfer the macaroni and cheese mixture to a baking dish.,2,76
237,Sprinkle the top with breadcrumbs for a crispy topping.,3,76
238,Bake in the preheated oven for 20-25 minutes or until the top is golden brown and the sauce is bubbling.,4,76
239,"In a large bowl, combine sliced beef sirloin, cornstarch, salt, and black pepper. Toss until the beef is evenly coated.",1,77
240,Preheat the air fryer to 200°C (392°F).,2,77
241,Place the coated beef in the air fryer basket in a single layer.,1,78
242,Lightly spray the beef with vegetable oil to ensure crispiness.,2,78
243,"Air fry the beef at 200°C (392°F) for 12-15 minutes, turning halfway through, until beef is crisp and golden brown.",3,78
244,"In a small saucepan, heat 2 tablespoons of vegetable oil over medium heat.",1,79
245,"Add minced garlic and sliced red chilies, and sauté for 2-3 minutes until fragrant.",2,79
246,"Stir in soy sauce, rice vinegar, and brown sugar. Cook for another 2-3 minutes until the sauce thickens slightly.",3,79
247,Transfer the crispy beef from the air fryer to a large mixing bowl.,1,80
248,"Pour the chilli sauce over the fried beef, tossing until well combined.",2,80
249,Garnish with sliced spring onions and toasted sesame seeds before serving.,3,80
250,Shred the cabbage and place it in a large mixing bowl.,1,81
251,Grate the carrots using a box grater and add them to the bowl.,2,81
252,"Chop the green onions into thin slices and dice the red bell pepper, then add both to the bowl with the cabbage and carrots.",3,81
253,"In a small bowl, combine the low-fat plain yogurt, light mayonnaise, apple cider vinegar, honey, and Dijon mustard. Whisk until smooth.",1,82
254,Pour the dressing over the shredded vegetables.,1,83
255,Season with salt and black pepper to taste.,2,83
256,Toss everything together until the vegetables are well coated with the dressing.,3,83
257,Cover the bowl with plastic wrap and refrigerate for at least 30 minutes to allow the flavors to meld.,4,83
258,Serve chilled as a side dish or as a topping for sandwiches.,5,83
259,Chop the chives finely and set aside.,1,84
260,Shred the cheddar cheese if not pre-shredded.,2,84
261,"In a large skillet, cook the bacon strips over medium heat until crispy, about 6-8 minutes.",1,85
262,"Remove bacon from the skillet and place on a paper towel-lined plate to drain excess grease. Once cooled, crumble the bacon into smaller pieces.",2,85
263,"In a bowl, whisk together eggs, milk, salt, and black pepper until well combined.",1,86
264,"In the same skillet used for the bacon, melt the butter over medium heat.",2,86
265,"Pour in the egg mixture and cook, gently stirring, until the eggs are softly scrambled and slightly undercooked. Remove from heat and set aside.",3,86
266,"Lay the tortillas flat and evenly distribute cheese, scrambled eggs, bacon, and chives over one half of each tortilla.",1,87
267,Fold the tortillas in half to enclose the filling.,2,87
268,"Heat a clean skillet over medium heat and cook each quesadilla for about 2-3 minutes on each side, or until the tortilla is golden brown and the cheese is melted.",3,87
269,Preheat the oven to 190°C (375°F).,1,88
270,"In a saucepan, melt the butter over medium heat, then add minced garlic and sauté until fragrant.",2,88
271,"Stir in the heavy cream and whole milk, and bring to a gentle simmer.",3,88
272,"Layer the thinly sliced potatoes in a greased baking dish, and season each layer with salt and pepper.",4,88
273,Pour the simmered cream mixture over the potatoes and top with grated Gruyère cheese.,5,88
274,"Bake in the preheated oven for 45-50 minutes, or until the top is golden and the potatoes are tender.",6,88
275,"While the potatoes are baking, score the skin of the duck breasts in a crisscross pattern.",1,89
276,Season the duck breasts with salt and freshly ground black pepper.,2,89
277,"Place duck breasts skin-side down in a cold frying pan, then place over medium heat.",3,89
278,"Cook the duck until the skin is crispy and golden, about 6-8 minutes. Flip and cook for another 4-5 minutes or until desired doneness.",4,89
279,Remove the duck breasts from the pan and let rest for at least 5 minutes before slicing.,5,89
280,"In the same frying pan, add olive oil and sauté the finely chopped shallots until soft.",1,90
281,"Stir in redcurrant jelly and Dijon mustard, mixing until smooth.",2,90
282,"Pour in the chicken stock and bring the mixture to a simmer, allowing the sauce to thicken slightly.",3,90
283,Adjust seasoning with salt and pepper as needed. Strain the sauce if desired for a smoother consistency.,4,90
284,Slice the duck breasts and arrange them on a plate alongside a portion of potato dauphinoise.,1,91
285,Drizzle the redcurrant-Dijon sauce over the duck and serve immediately.,2,91
286,Preheat the oven to 180°C (350°F).,1,92
287,"In a bowl, combine the crushed graham crackers and melted butter until evenly moistened.",2,92
288,Press the mixture firmly into the bottom of a 23cm (9-inch) springform pan to form the crust.,3,92
289,Bake the crust in the preheated oven for 10 minutes to set. Remove and let it cool while preparing the filling.,4,92
290,"In a large mixing bowl, beat the softened cream cheese with an electric mixer until smooth and creamy.",1,93
291,"Gradually add the granulated sugar, beating until fully incorporated.",2,93
292,"Mix in the vanilla extract, followed by the eggs, adding them one at a time and mixing well after each addition.",3,93
293,"Add the heavy cream, flour, and salt to the mixture, and beat just until combined and smooth.",4,93
294,Pour the cheesecake filling over the cooled crust in the springform pan.,1,94
295,Smooth the top with a spatula or the back of a spoon to ensure even baking.,2,94
296,"Place the filled pan on a baking sheet and bake in the preheated oven for about 50-60 minutes, until the edges are set but the center slightly jiggles.",3,94
297,Turn off the oven and leave the cheesecake inside with the oven door slightly ajar for about 1 hour to cool slowly and prevent cracking.,1,95
298,Transfer the cheesecake to a refrigerator and chill for at least 4 hours or overnight before serving.,2,95
299,"Remove the cheesecake from the springform pan, slice, and enjoy your Classic Cheesecake.",3,95
300,"In a large bowl, whisk together the all-purpose flour, baking powder, ground cinnamon, ground nutmeg, and salt.",1,96
301,"In another bowl, mix the pumpkin puree, granulated sugar, eggs, milk, and vanilla extract until well combined.",2,96
302,Add the wet ingredients to the dry ingredients and stir until just combined. Do not overmix.,3,96
303,Fold in the melted butter until incorporated.,4,96
304,Heat a non-stick frying pan or griddle over medium heat. Lightly grease with butter if needed.,1,97
305,Pour about 60 milliliters (approximately 1/4 cup) of batter onto the pan for each flapjack.,2,97
306,"Cook until bubbles start to form on the surface and the edges look set, about 2-3 minutes. Flip and cook for another 2 minutes until golden brown.",3,97
307,Transfer the cooked flapjacks to a warm plate and keep covered. Repeat with the remaining batter.,4,97
308,Place a stack of flapjacks on each serving plate.,1,98
309,Top each stack with a dollop of mascarpone cheese.,2,98
310,Scatter the mixed fresh berries over the top.,3,98
311,Drizzle with maple syrup if desired.,4,98
312,Serve immediately and enjoy your pumpkin flapjacks with mascarpone and berries.,5,98
313,"In a small bowl, combine the matcha powder and grated ginger.",1,99
314,Add a small amount of almond milk (about 50 ml) to the matcha-ginger mix and whisk until smooth to form a paste.,2,99
315,"In a medium saucepan, heat the remaining almond milk over medium heat until just warm, not boiling.",1,100
316,Stir in the honey and vanilla extract until dissolved.,2,100
317,Pour the warm almond milk mixture into the bowl containing the matcha paste and whisk until well combined.,1,101
318,Fill four glasses with ice cubes.,2,101
319,Pour the iced ginger matcha latte mix over the ice in each glass evenly.,3,101
320,Preheat your oven to 160°C (320°F) and line a large baking tray with parchment paper.,1,102
321,"In a large mixing bowl, combine the rolled oats, chopped almonds, chopped walnuts, and sunflower seeds.",2,102
322,"Stir in the ground cinnamon and salt, ensuring an even coat across the dry ingredients.",3,102
323,"In a separate bowl, whisk together the honey, melted coconut oil, and vanilla extract until well blended.",1,103
324,Pour the wet mixture over the dry ingredients and toss until the oats and nuts are thoroughly coated.,1,104
325,Spread the mixture evenly onto the prepared baking tray.,2,104
326,"Bake in the preheated oven for 25-30 minutes, stirring halfway through to ensure even baking, or until the granola is golden brown.",3,104
327,Remove the tray from the oven and let the granola cool completely on the baking tray to allow it to crisp up.,1,105
328,"Once cooled, fold in the diced dried apricots and dried cranberries.",2,105
329,Store the granola in an airtight container for up to two weeks.,3,105
330,"Fill a large pot with water, add a generous amount of salt, and bring to a boil.",1,106
331,"Add the spaghetti and cook until it is just shy of al dente, about 1 minute less than the package instructions.",2,106
332,Reserve 1 cup of pasta water and then drain the spaghetti.,3,106
333,"While the pasta is cooking, in a large skillet, heat the freshly ground black pepper over medium heat for about 1 minute to release its fragrant oils.",1,107
334,Add about 2 ladles of the reserved pasta water to the skillet and bring to a simmer.,2,107
335,Transfer the cooked spaghetti into the skillet with the simmering pepper-water mixture.,1,108
336,Add half of the grated Pecorino Romano cheese and begin tossing the pasta quickly using tongs or a pasta fork to combine the cheese with the pasta.,2,108
